filename;sentence number;arg1;rel;arg2;arg1 start;arg1 end;rel start;rel end;arg2 start;arg2 end;conf;sentence words;sentence pos tags;sentence chunk tags;arg1 normalized;rel normalized;arg2 normalized
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;1;AL Errors OpenAL;detects only;a subset of those conditions;0;3;3;5;5;10;0.20433399032209082;AL Errors OpenAL detects only a subset of those conditions that could be considered errors .;NNP NNP NNP VBZ RB DT NN IN DT NNS WDT MD VB VBN NNS .;B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-NP B-VP I-VP I-VP B-NP O;al errors openal;detect;a subset of those conditions
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;1;only a subset of those conditions;could be considered;errors;4;10;11;14;14;15;0.14822796712593167;AL Errors OpenAL detects only a subset of those conditions that could be considered errors .;NNP NNP NNP VBZ RB DT NN IN DT NNS WDT MD VB VBN NNS .;B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-NP B-VP I-VP I-VP B-NP O;only a subset of those conditions;consider;errors
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;2;many cases error checking;would adversely impact the performance of;an error-free program;4;8;8;14;14;17;0.634905209040795;This is because in many cases error checking would adversely impact the performance of an error-free program .;DT VBZ IN IN JJ NNS NN NN MD RB VB DT NN IN DT JJ NN .;B-NP B-VP B-ADVP B-PP B-NP I-NP I-NP I-NP B-VP I-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP O;many cases error checking;impact performance of;an error-free program
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;3;ALenum alGetErroris;used to obtain;error information;3;5;5;8;8;10;0.6469822452708904;The command : ALenum alGetErroris used to obtain error information .;DT NN : NN NN VBD TO VB NN NN .;B-NP I-NP O B-NP I-NP B-VP I-VP I-VP B-NP I-NP O;alenum algeterroris;use to obtain;error information
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;4;Each detectable error;is assigned;a numeric code;0;3;3;5;5;8;0.9367238205926237;Each detectable error is assigned a numeric code .;DT JJ NN VBZ VBN DT JJ NN .;B-NP I-NP I-NP B-VP I-VP B-NP I-NP I-NP O;each detectable error;assign;a numeric code
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;5;an error;is detected by;AL;1;3;3;6;6;7;0.9373643582369061;When an error is detected by AL , a flag is set and the error code is recorded .;WRB DT NN VBZ VBN IN NNP , DT NN VBZ VBN CC DT NN NN VBZ VBN .;B-ADVP B-NP I-NP B-VP I-VP B-PP B-NP O B-NP I-NP B-VP I-VP O B-NP I-NP I-NP B-VP I-VP O;an error;detect by;al
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;6;they;do not affect;this recorded code;4;5;7;10;10;13;0.02508851619541027;Further errors , if they occur , do not affect this recorded code .;JJ NNS , IN PRP VBP , VBP RB VB DT JJ NN .;B-NP I-NP O B-SBAR B-NP B-VP O B-VP I-VP I-VP B-NP I-NP I-NP O;they;affect;this recorded code
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;7;a further error;will again record;its code;17;20;20;23;23;25;0.45427362623855017;When alGetError is called , the code is returned and the flag is cleared , so that a further error will again record its code .;WRB NN VBZ VBN , DT NN VBZ VBN CC DT NN VBZ VBN , RB IN DT JJ NN MD RB VB PRP$ NN .;B-ADVP B-NP B-VP I-VP O B-NP I-NP B-VP I-VP O B-NP I-NP B-VP I-VP O B-PP I-PP B-NP I-NP I-NP B-VP I-VP I-VP B-NP I-NP O;a further error;record;its code
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;9;Error codes;can be mapped to;strings;0;2;2;6;6;7;0.9447114730099929;Error codes can be mapped to strings .;NN NNS MD VB VBN TO NNS .;B-NP I-NP B-VP I-VP I-VP B-PP B-NP O;error codes;map to;strings
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;10;The alGetString function;returns a pointer to;a constant string;0;3;3;7;7;10;0.3628838605183336;The alGetString function returns a pointer to a constant string that is identical to the identifier used for the enumeration value , as defined in the specification .;DT JJ NN VBZ DT NN TO DT JJ NN WDT VBZ JJ TO DT NN VBN IN DT NN NN , IN VBN IN DT NN .;B-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-NP B-VP B-ADJP B-PP B-NP I-NP B-VP B-PP B-NP I-NP I-NP O B-SBAR B-VP B-PP B-NP I-NP O;the algetstring function;return pointer to;a constant string
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;10;a constant string;is identical to;the identifier;7;10;11;14;14;16;0.09700676724579176;The alGetString function returns a pointer to a constant string that is identical to the identifier used for the enumeration value , as defined in the specification .;DT JJ NN VBZ DT NN TO DT JJ NN WDT VBZ JJ TO DT NN VBN IN DT NN NN , IN VBN IN DT NN .;B-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-NP B-VP B-ADJP B-PP B-NP I-NP B-VP B-PP B-NP I-NP I-NP O B-SBAR B-VP B-PP B-NP I-NP O;a constant string;be identical to;the identifier
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;14;The table above;summarizes;the AL errors;0;3;3;4;4;7;0.943669801449269;The table above summarizes the AL errors .;DT NN IN VBZ DT NNP NNS .;B-NP I-NP I-NP B-VP B-NP I-NP I-NP O;the table above;summarize;the al errors
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;16;it;has no effect on;AL state or output buffer contents;13;14;14;18;18;24;0.6845304630871042;In other cases , the command generating the error is ignored so that it has no effect on AL state or output buffer contents .;IN JJ NNS , DT NN VBG DT NN VBZ VBN RB IN PRP VBZ DT NN IN NNP NN CC NN NN NNS .;B-PP B-NP I-NP O B-NP I-NP B-VP B-NP I-NP B-VP I-VP B-ADVP B-SBAR B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O;it;have effect on;al state or output buffer contents
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;17;it;returns;zero;9;10;10;11;11;12;0.19742216938117155;If the error generating command returns a value , it returns zero .;IN DT NN VBG NN NNS DT NN , PRP VBZ CD .;B-SBAR B-NP I-NP B-VP B-NP I-NP B-NP I-NP O B-NP B-VP B-NP O;it;return;#
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;18;the generating command;modifies;values;1;4;4;5;5;6;0.163960140868634;If the generating command modifies values through a pointer argument , no change is made to these values .;IN DT VBG NN VBZ NNS IN DT NN NN , DT NN VBZ VBN TO DT NNS .;B-SBAR B-NP I-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP O B-NP I-NP B-VP I-VP B-PP B-NP I-NP O;the generating command;modify;values
/Users/ronny/Dropbox/Studium/Mitschriften Notizen/152 WS/Bachelorarbeit/BachelorarbeitCode/corpora/OpenAL_1_ausschnitt.txt;18;no change;is made to;these values;11;13;13;16;16;18;0.7436860102170327;If the generating command modifies values through a pointer argument , no change is made to these values .;IN DT VBG NN VBZ NNS IN DT NN NN , DT NN VBZ VBN TO DT NNS .;B-SBAR B-NP I-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP O B-NP I-NP B-VP I-VP B-PP B-NP I-NP O;no change;make to;these values
